date,quantity,week,pmax,pmin,plen
2018/9/15,221.2,6,53.24,50.99,2.25
2018/9/16,1608.8,7,68.74,65.12,3.62
2018/9/17,3410,1,146.64,139.28,7.36
2018/9/18,4008,2,170.56,163.28,7.28
2018/9/19,4348.4,3,186.29,178.29,8
2018/9/20,3741.3,4,159.83,152.67,7.17
2018/9/21,2868.5,5,122.67,116.23,6.44
2018/9/22,1155.1,6,49.7,46.53,3.16
2018/9/23,1114.9,7,47.68,45.21,2.46
2018/9/24,1106.5,1,47.36,44.76,2.6
2018/9/25,2585.1,2,111.25,104.57,6.68
2018/9/26,2476.3,3,106.12,99.1,7.02
2018/9/27,2768.8,4,117.48,111.51,5.96
2018/9/28,3455.3,5,146.81,139.89,6.92
2018/9/29,3348.6,6,141.2,134.7,6.49
2018/9/30,2384.3,7,102.3,95.27,7.04
2018/10/1,1033.7,1,44.86,41.48,3.38
2018/10/2,913.3,2,39.53,37,2.53
2018/10/3,864.4,3,37.08,34.6,2.48
2018/10/4,861.8,4,37.24,34.55,2.69
2018/10/5,878,5,38.27,35.41,2.86
2018/10/6,827.2,6,35.56,33.21,2.35
2018/10/7,839,7,36.1,33.66,2.43
2018/10/8,2376,1,103.36,96.87,6.5
2018/10/9,2164.7,2,92.26,86.32,5.93
2018/10/10,1880.3,3,82.16,76.25,5.9
2018/10/11,1792.2,4,77.7,71.71,5.99
2018/10/12,1717.7,5,73.48,68.75,4.73
2018/10/13,885.6,6,38.82,35.65,3.17
2018/10/14,849,7,36.41,33.95,2.46
2018/10/15,1881.9,1,79.45,74.16,5.28
2018/10/16,1942.9,2,84.69,78.14,6.55
2018/10/17,1875.1,3,80.49,75.05,5.44
2018/10/18,1854.4,4,80.14,73.65,6.48
2018/10/19,1776.4,5,77.12,70.74,6.38
2018/10/20,900.3,6,38.85,35.82,3.02
2018/10/21,907.6,7,39.06,36.25,2.81
2018/10/22,1770.4,1,75.85,70.72,5.13
2018/10/23,1820.4,2,79.16,73.25,5.91
2018/10/24,1848.3,3,79.35,73.69,5.66
2018/10/25,1784.3,4,76.1,70.88,5.22
2018/10/26,1817.6,5,78.17,72.92,5.26
2018/10/27,963.2,6,41.6,38.7,2.89
2018/10/28,957.3,7,40.81,38.29,2.52
2018/10/29,1784,1,77.66,71.68,5.98
2018/10/30,1849.6,2,78.78,73.57,5.21
2018/10/31,1780.9,3,76.84,71,5.84
2018/11/1,1726.8,4,74.5,69.36,5.14
2018/11/2,1703.7,5,74.41,68.72,5.68
2018/11/3,885.6,6,38.77,35.55,3.22
2018/11/4,876.6,7,38.52,35.43,3.09
2018/11/5,1711.9,1,73.93,68.35,5.57
2018/11/6,1698,2,73.71,67.91,5.8
2018/11/7,1747,3,75.36,70.33,5.03
2018/11/8,1662.9,4,71.66,65.89,5.77
2018/11/9,1635.3,5,70.98,65.7,5.28
2018/11/10,959.5,6,40.66,38.36,2.29
2018/11/11,970.9,7,41.87,38.76,3.11
2018/11/12,1717,1,73.12,68.64,4.48
2018/11/13,1627,2,71.08,64.07,7.02
2018/11/14,1648.8,3,71.48,65.96,5.52
2018/11/15,1662.2,4,71.02,65.79,5.23
2018/11/16,1609.1,5,70.71,65.2,5.51
2018/11/17,829.4,6,36.42,33.26,3.16
2018/11/18,833.9,7,36.91,33.9,3.01
2018/11/19,1614.9,1,69.3,63.73,5.57
2018/11/20,1712,2,74.84,69.19,5.65
2018/11/21,1672.4,3,71.1,65.86,5.24
2018/11/22,1730.6,4,73.25,67.56,5.69
2018/11/23,1103.1,5,63.51,59.17,4.34
2018/11/24,924.7,6,40.36,36.95,3.42
2018/11/25,874.8,7,37.36,34.99,2.37
2018/11/26,1621,1,69.31,64.4,4.91
2018/11/27,1709.9,2,75.7,69.33,6.37
2018/11/28,1705.6,3,73.38,68.36,5.03
2018/11/29,1659.4,4,71.99,66.15,5.84
2018/11/30,1550.9,5,67.12,61.09,6.02
2018/12/1,852.3,6,37.2,34.5,2.69
2018/12/2,869.4,7,37.34,34.6,2.74
2018/12/3,1796.6,1,77.41,71.81,5.61
2018/12/4,1655.7,2,72.65,65.76,6.88
2018/12/5,1719.2,3,75.2,69.43,5.77
2018/12/6,1788.8,4,78.05,71.81,6.24
2018/12/7,2599.2,5,112.5,105.18,7.32
2018/12/8,1746.4,6,75.95,71.27,4.68
2018/12/9,1836.2,7,80.41,74.59,5.82
2018/12/10,3016.1,1,129.55,121.19,8.35
2018/12/11,2992.6,2,127.81,121.05,6.76
2018/12/12,3372.9,3,145.36,136.96,8.41
2018/12/13,3177.9,4,134.68,127.23,7.44
2018/12/14,2948.2,5,126.28,118.89,7.39
2018/12/15,1335.2,6,57.76,53.3,4.46
2018/12/16,1398.6,7,60.47,56.37,4.1
2018/12/17,2521.8,1,107.58,101.46,6.11
2018/12/18,2325.4,2,100.23,93.92,6.31
2018/12/19,2361.1,3,101.06,94.46,6.6
2018/12/20,2401.4,4,102.4,95.56,6.84
2018/12/21,2278.9,5,98.1,92.06,6.04
2018/12/22,1229.9,6,53.76,50.18,3.58
2018/12/23,1426.4,7,60.74,56.94,3.8
2018/12/24,2735.6,1,118.46,111.13,7.33
2018/12/25,2871,2,124.69,116.94,7.74
2018/12/26,2505.3,3,106.83,100.14,6.69
2018/12/27,2871.6,4,122.94,115.93,7.01
2018/12/28,2969.9,5,126.86,119.41,7.45
2018/12/29,2901.4,6,124.61,116.7,7.91
2018/12/30,1097.3,7,46.83,44.09,2.73
2018/12/31,1140.7,1,48.43,45.5,2.93